,tic_p3,filename,anomaly_score_p3,tic_p9,anomaly_score_p9,is_toi,importance_score,normalized_score,score_sum,score_weighted_root_sum,score_sum_norm,score_weighted_root_sumnorm,matched_label,label_group,similarity_score
5617,318570652.0,tess2018206045859-s0001-0000000318570652-0120-s_lc.fits,0.0240963855421686,318570652.0,0.0240963855421686,False,,,0.024096385542168603,0.15523010514126634,0.018714401952807165,0.09587971791772067,PM*,stellar,0.6531454165882892
5618,318570817.0,tess2018206045859-s0001-0000000318570817-0120-s_lc.fits,0.0060240963855421,318570817.0,0.0060240963855421,False,,,0.0060240963855421,0.07761505257063284,0.00040683482506103427,0.01227360592482847,Pl?,planet_like,0.6715140839501004
5619,318606698.0,tess2018206045859-s0001-0000000318606698-0120-s_lc.fits,0.1686746987951807,318606698.0,0.2469879518072288,False,,,0.2313253012048192,0.42795596821628956,0.22864117168429615,0.3896571270209103,err,outlier,0.7154276117547835
5620,319244608.0,tess2018206045859-s0001-0000000319244608-0120-s_lc.fits,0.1586345381526103,319244608.0,0.3253012048192771,False,,,0.2919678714859437,0.4327019774897718,0.290073230268511,0.39476947790770456,outlier,outlier,0.5634038088632456
5621,319245859.0,tess2018206045859-s0001-0000000319245859-0120-s_lc.fits,0.0120481927710843,319245859.0,0.0060240963855421,False,,,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,outlier,outlier,0.35623190554810885
5622,319246375.0,tess2018206045859-s0001-0000000319246375-0120-s_lc.fits,0.1686746987951807,319246375.0,0.2409638554216867,False,,,0.22650602409638548,0.42673634209012345,0.22375915378356384,0.3883433586845312,outlier,outlier,0.47270211158648057
5623,319246766.0,tess2018206045859-s0001-0000000319246766-0120-s_lc.fits,0.1345381526104417,319246766.0,0.2349397590361446,False,,,0.21485943775100402,0.39037671220641135,0.2119609438567942,0.34917715074682093,outlier,outlier,0.5180019816322068
5624,319258261.0,tess2018206045859-s0001-0000000319258261-0120-s_lc.fits,0.0060240963855421,319258261.0,0.0481927710843373,False,,,0.03975903614457827,0.1059977460523824,0.034580960130187174,0.04284714251730283,outlier,outlier,0.39907879933409185
5625,319258485.0,tess2018206045859-s0001-0000000319258485-0120-s_lc.fits,0.0120481927710843,319258485.0,0.0060240963855421,False,,,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,outlier,outlier,0.5330152193134218
5626,319259160.0,tess2018206045859-s0001-0000000319259160-0120-s_lc.fits,0.0120481927710843,319259160.0,0.0060240963855421,False,,,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,outlier,outlier,0.38470521610447306
5627,319289907.0,tess2018206045859-s0001-0000000319289907-0120-s_lc.fits,0.1907630522088352,319289907.0,0.4397590361445783,False,,,0.38995983935742967,0.4820400985557511,0.38934092758340116,0.4479159789888861,outlier,outlier,0.4534047702919388
5628,320938894.0,tess2018206045859-s0001-0000000320938894-0120-s_lc.fits,0.0180722891566265,320938894.0,0.0060240963855421,False,,,0.00843373493975898,0.12306958210169953,0.002847843775427199,0.06123674336650127,outlier,outlier,0.4547495399247211
5629,320938965.0,tess2018206045859-s0001-0000000320938965-0120-s_lc.fits,0.0481927710843373,320938965.0,0.2168674698795181,False,,,0.18313253012048195,0.26876087906826446,0.1798209926769732,0.21817386428761798,outlier,outlier,0.5390786614133504
5630,320940221.0,tess2018206045859-s0001-0000000320940221-0120-s_lc.fits,0.0080321285140563,320940221.0,0.0060240963855421,False,,,0.00642570281124494,0.08722072490584223,0.0008136696501220893,0.022620734354506317,outlier,outlier,0.394683197367864
5631,320939915.0,tess2018206045859-s0001-0000000320939915-0120-s_lc.fits,0.0120481927710843,320939915.0,0.0060240963855421,False,,,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,err,outlier,0.7442390897283454
5632,320952356.0,tess2018206045859-s0001-0000000320952356-0120-s_lc.fits,0.0120481927710843,320952356.0,0.0060240963855421,False,,,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,outlier,outlier,0.4311969917767602
5633,320964222.0,tess2018206045859-s0001-0000000320964222-0120-s_lc.fits,0.0602409638554216,320964222.0,0.1144578313253011,False,,,0.10361445783132521,0.2640155116001237,0.09926769731489013,0.2130622047467351,err,outlier,0.811416191633713
5634,320963401.0,tess2018206045859-s0001-0000000320963401-0120-s_lc.fits,0.1204819277108434,320963401.0,0.3132530120481928,False,,,0.27469879518072293,0.3896220745167499,0.27257933279088703,0.3483642630258666,outlier,outlier,0.5781898955086665
5635,320964628.0,tess2018206045859-s0001-0000000320964628-0120-s_lc.fits,0.0040160642570282,320964628.0,0.0060240963855421,False,,,0.00562248995983932,0.06622095055608536,4.0766001685454967e-17,1.3600232051658168e-15,outlier,outlier,0.40749665854206507
5636,320965223.0,tess2018206045859-s0001-0000000320965223-0120-s_lc.fits,0.1164658634538151,320965223.0,0.2469879518072288,False,,,0.22088353413654607,0.3724125273690978,0.21806346623270945,0.3298263212411315,outlier,outlier,0.45315865812998585
5637,320965414.0,tess2018206045859-s0001-0000000320965414-0120-s_lc.fits,0.0120481927710843,320965414.0,0.0060240963855421,False,,,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,outlier,outlier,0.4811867340419906
5638,321908075.0,tess2018206045859-s0001-0000000321908075-0120-s_lc.fits,0.0120481927710843,321908075.0,0.0060240963855421,False,,,0.00722891566265054,0.10333441850587871,0.0016273393002441171,0.039978234312620486,outlier,outlier,0.4207638602695614
5639,321908147.0,tess2018206045859-s0001-0000000321908147-0120-s_lc.fits,0.0923694779116465,321908147.0,0.2289156626506023,False,,,0.20160642570281112,0.3388290424017584,0.19853539462978023,0.2936505471831835,outlier,outlier,0.577008904620059
5640,321928020.0,tess2018206045859-s0001-0000000321928020-0120-s_lc.fits,0.0040160642570282,321928020.0,0.0060240963855421,False,,,0.00562248995983932,0.06622095055608536,4.0766001685454967e-17,1.3600232051658168e-15,outlier,outlier,0.37167852239079374
5641,321928346.0,tess2018206045859-s0001-0000000321928346-0120-s_lc.fits,0.0281124497991969,321928346.0,0.0180722891566265,False,,,0.02008032128514058,0.16102078423117852,0.014646053702197001,0.10211737605839523,PM*,stellar,0.8529586187500018
5642,323423502.0,tess2018206045859-s0001-0000000323423502-0120-s_lc.fits,0.0120481927710843,323423502.0,0.0301204819277108,False,,,0.0265060240963855,0.12252191471678328,0.021155410903173345,0.06064680186415554,outlier,outlier,0.5833108358432575
