variant,threshold_percent,n_tois_flagged,avg_normalized_importance,max_normalized_importance
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,90,44,0.07794318092922513,1.0
urf4_model_variant_n200_d27_c2_n100ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,10,10,0.2332496924825898,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,20,17,0.19119918530594304,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,30,23,0.14267568099794173,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,40,29,0.11362364338261016,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,50,31,0.10629770314695355,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,60,34,0.09693410690335415,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,70,36,0.09156065534574859,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,80,39,0.08454919976988971,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,90,42,0.08161937462670668,1.0
urf4_model_variant_n200_d27_c2_n200ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,10,10,0.23324969248258984,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,20,17,0.19111311695988906,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,30,20,0.16252865966505656,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,40,25,0.1302959046235073,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,50,30,0.10981404444728003,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,60,35,0.09423379222803525,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,70,40,0.08251581983939667,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,80,40,0.08251581983939667,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,90,45,0.07627811055875092,1.0
urf4_model_variant_n200_d27_c2_n50ppm_anomaly_scores_sector_2,100,49,0.0700966635218851,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,10,10,0.2332496924825898,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,20,16,0.19756975620977657,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,30,21,0.15498929058750002,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,40,23,0.14154887126452717,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,50,27,0.12072333988670474,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,60,29,0.11278253357482952,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,70,39,0.08461143953663755,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,80,41,0.08048438559272077,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,90,44,0.07798643382456538,1.0
urf4_model_variant_n300_d13_c10_n100ppm_anomaly_scores_sector_2,100,49,0.07009666352188511,1.0
urf4_model_variant_n300_d13_c10_n200ppm_anomaly_scores_sector_2,10,11,0.2856745391721557,1.0
urf4_model_variant_n300_d13_c10_n200ppm_anomaly_scores_sector_2,20,16,0.2019461135729304,1.0
urf4_model_variant_n300_d13_c10_n200ppm_anomaly_scores_sector_2,30,21,0.15391689200300057,1.0
urf4_model_variant_n300_d13_c10_n200ppm_anomaly_scores_sector_2,40,26,0.12566587631540155,1.0
urf4_model_variant_n300_d13_c10_n200ppm_anomaly_scores_sector_2,50,28,0.11679742316169082,1.0
